date,open,close,high,low,volume
2022-06-06,108.27,105.65,109.57,104.225,96555037.0
2022-06-03,105.8,106.3,109.39,104.65,108215108.0
2022-06-02,100.78,108.59,109.5,100.78,120936490.0
2022-06-01,102.13,101.22,103.57,99.55,99330284.0
2022-05-31,102.43,101.86,104.55,100.04,125107089.0
2022-05-27,100.14,102.26,102.4,99.38,104016894.0
2022-05-26,91.34,98.75,100.33,90.74,128801553.0
2022-05-25,90.425,92.65,93.89,89.52,109891886.0
2022-05-24,92.54,91.16,93.42,89.62,123260536.0
2022-05-23,91.66,95.07,95.19,90.92,128717136.0
2022-05-20,98.385,93.5,98.64,88.26,163811745.0
2022-05-19,96.69,96.67,100.69,95.09,141469676.0
2022-05-18,100.0,96.28,104.22,95.71,142544074.0
2022-05-17,97.88,102.47,103.2,97.54,164192482.0
2022-05-16,93.86,94.24,98.169,93.0801,131037062.0
2022-05-13,88.3,95.12,96.57,88.22,137832209.0
2022-05-12,86.6,87.06,88.55,83.27,129129102.0
2022-05-11,87.84,87.92,93.46,86.53,136103360.0
2022-05-10,89.18,88.73,90.7721,85.41,137206213.0
2022-05-09,92.865,86.36,93.74,85.38,144463067.0
2022-05-06,94.34,95.34,98.18,92.65,144256121.0
2022-05-05,97.65,93.87,97.84,92.17,153106893.0
2022-05-04,98.18,99.42,99.69,91.7,225337913.0
2022-05-03,89.85,91.13,92.21,89.01,119243939.0
2022-05-02,85.655,89.84,90.37,85.3201,97456870.0
2022-04-29,88.05,85.52,91.79,85.38,82622580.0
2022-04-28,86.67,89.64,90.58,84.78,89849576.0
2022-04-27,84.25,84.91,87.9,84.02,83088638.0
2022-04-26,89.74,85.16,90.12,85.08,89050324.0
2022-04-25,89.86,90.69,91.37,88.61,93176538.0
2022-04-22,90.03,88.14,91.46,87.935,74009453.0
2022-04-21,95.16,89.85,96.23,89.24,76458100.0
2022-04-20,97.84,94.02,97.91,93.2,62491938.0
2022-04-19,93.385,96.93,97.07,92.84,77071868.0
2022-04-18,92.03,93.89,95.16,91.64,80564047.0
2022-04-14,98.37,93.06,98.39,92.92,73055186.0
2022-04-13,95.3,97.74,98.33,94.71,77550226.0
2022-04-12,98.78,95.1,99.59,94.6,88926830.0
2022-04-11,98.6,97.37,98.67,95.94,95530108.0
2022-04-08,102.51,101.0,102.99,100.4205,92730748.0
2022-04-07,103.92,103.72,105.24,100.91,91864744.0
2022-04-06,104.45,103.67,105.744,101.7106,105216598.0
2022-04-05,109.685,106.82,110.48,106.05,79502759.0
2022-04-04,109.97,110.53,110.9391,107.03,89979070.0
2022-04-01,110.48,108.19,111.42,106.102,111857432.0
2022-03-31,116.31,109.34,116.38,109.02,146980178.0
2022-03-30,123.04,119.22,125.67,118.59,99451722.0
2022-03-29,122.28,123.23,123.71,119.59,93799521.0
2022-03-28,117.7,120.24,120.41,116.71,92946820.0
2022-03-25,119.915,119.67,121.4,117.2533,95836251.0
2022-03-24,114.96,120.53,120.55,113.71,121577519.0
2022-03-23,114.29,113.92,117.55,112.21,90565220.0
2022-03-22,115.43,114.78,117.95,113.81,101346493.0
2022-03-21,113.73,115.92,117.57,112.54,101879340.0
2022-03-18,111.28,113.46,114.93,110.55,105544430.0
2022-03-17,112.14,111.69,114.27,109.71,102713827.0
2022-03-16,111.6,115.37,115.42,109.89,113657676.0
2022-03-15,102.66,109.33,109.69,101.79,112403225.0
2022-03-14,102.99,102.25,105.2397,101.04,89717351.0
2022-03-11,108.13,104.29,108.19,104.08,87572571.0
2022-03-10,108.89,106.46,109.07,103.07,102525006.0
2022-03-09,108.41,111.05,111.71,106.85,102264193.0
2022-03-08,102.81,105.53,109.9,100.08,135327124.0
2022-03-07,108.53,102.95,109.53,102.82,92540806.0
2022-03-04,112.0,108.41,113.0,106.81,100518172.0
2022-03-03,118.13,111.98,118.26,111.05,123924669.0
2022-03-02,115.47,118.28,119.48,113.31,118332380.0
