date,open,close,high,low,volume
2022-06-06,43.81,43.34,44.04,43.08,25330242.0
2022-06-03,44.11,43.39,44.25,43.34,33163506.0
2022-06-02,44.19,44.84,44.88,43.94,28722866.0
2022-06-01,44.77,44.11,44.925,43.525,29888471.0
2022-05-31,44.25,44.42,44.75,43.65,41044891.0
2022-05-27,43.59,44.55,44.55,43.55,30540969.0
2022-05-26,42.17,43.48,43.68,42.08,28771202.0
2022-05-25,41.44,42.2,42.52,41.39,26275653.0
2022-05-24,41.7,41.67,41.89,41.1,29812292.0
2022-05-23,41.69,42.0,42.25,41.33,27200081.0
2022-05-20,42.25,41.65,42.29,40.31,44785083.0
2022-05-19,42.32,42.01,42.7,41.72,29182984.0
2022-05-18,43.98,42.35,43.98,42.22,35219342.0
2022-05-17,43.82,44.4,44.42,43.65,28586449.0
2022-05-16,43.42,43.08,43.605,42.785,24642355.0
2022-05-13,43.42,43.6,43.84,42.97,32024292.0
2022-05-12,42.73,42.84,42.905,42.01,42330885.0
2022-05-11,44.02,42.83,44.29,42.78,37291951.0
2022-05-10,44.35,44.01,44.735,43.5,42755883.0
2022-05-09,43.81,43.07,44.2,42.87,44928067.0
2022-05-06,44.49,44.3,45.145,43.84,40918861.0
2022-05-05,45.6,44.6,45.91,44.13,52999744.0
2022-05-04,45.06,46.54,46.6398,44.415,44628165.0
2022-05-03,44.79,45.06,45.49,44.23,40161318.0
2022-05-02,43.72,44.96,44.99,43.51,45431776.0
2022-04-29,44.99,43.59,45.35,43.5,70766883.0
2022-04-28,45.79,46.84,47.27,45.54,38264684.0
2022-04-27,45.48,45.22,46.06,45.01,26690082.0
2022-04-26,46.69,45.52,46.84,45.51,35317871.0
2022-04-25,46.21,47.06,47.14,46.18,34974769.0
2022-04-22,47.45,46.54,47.65,46.5,28206625.0
2022-04-21,48.62,47.5,48.9,47.4,27319422.0
2022-04-20,48.36,48.11,48.75,47.98,22782576.0
2022-04-19,46.6,47.93,48.0,46.34,31474194.0
2022-04-18,45.53,46.64,46.89,45.52,25594728.0
2022-04-14,46.745,45.67,46.75,45.62,36185329.0
2022-04-13,46.75,47.01,47.27,46.55,22161993.0
2022-04-12,47.32,46.5,47.91,46.41,29849491.0
2022-04-11,46.9,46.57,47.3,46.53,30331835.0
2022-04-08,47.28,47.02,47.58,46.845,22169052.0
