date,open,close,high,low,volume
2022-06-06,177.0,177.61,179.235,175.295,1394792.0
2022-06-03,172.79,174.65,175.4,171.85,1370333.0
2022-06-02,170.75,174.42,174.58,170.38,1749952.0
2022-06-01,172.54,170.59,174.0,167.86,1729678.0
2022-05-31,171.05,171.58,172.89,168.3286,2225038.0
2022-05-27,170.45,172.56,177.0,170.45,2387184.0
2022-05-26,160.35,170.17,171.69,160.35,3693136.0
2022-05-25,151.39,159.55,160.35,150.77,3079793.0
2022-05-24,155.68,152.64,156.69,149.7607,2303637.0
2022-05-23,156.47,157.96,159.16,153.3232,1832336.0
2022-05-20,159.42,155.23,159.63,151.431,2105866.0
2022-05-19,153.29,156.94,159.59,152.25,2228075.0
2022-05-18,162.73,154.02,164.38,153.01,3748404.0
2022-05-17,166.33,164.86,167.32,162.5,2302548.0
2022-05-16,165.7,162.33,166.39,161.4,2367894.0
2022-05-13,166.0,166.4,167.48,163.75,2772442.0
2022-05-12,165.1722135573,163.34,167.0089022196,159.6721295741,2619605.0
2022-05-11,167.3183443311,166.96,172.1745890822,165.4916376725,2973825.0
2022-05-10,167.7575524895,168.09,169.9336292741,164.6331853629,2594670.0
2022-05-09,170.6722975405,163.85,170.6722975405,161.8082783443,4058540.0
2022-05-06,177.859340132,172.52,178.2137012597,168.9753569286,2764177.0
2022-05-05,179.3666226755,177.66,183.1797480504,174.8647390522,3174391.0
2022-05-04,175.6832633473,181.24,181.2432393521,172.004895021,4276240.0
2022-05-03,178.3284943011,173.04,178.3684223155,170.479545051,4135837.0
2022-05-02,178.6279544091,178.14,179.9954889022,172.9682581884,2589988.0
2022-04-29,182.640719856,177.52,184.7968326335,176.6415356929,2605463.0
2022-04-28,181.3929694061,184.56,185.8349610078,179.7459388122,2337835.0
2022-04-27,177.609790042,180.2,181.5027714457,175.5934253149,1808884.0
2022-04-26,180.674265147,177.25,182.8503419316,176.4967966407,2082699.0
2022-04-25,178.5480983803,182.48,182.3612237552,176.6914457109,2368338.0
2022-04-22,183.4292981404,179.49,183.8385602879,178.6179724055,1872901.0
2022-04-21,193.1916976605,184.17,195.5474505099,183.3694061188,2905571.0
